opcode,name,payload,immediate_reply,final_state,handler
0x01,GET_REVISION,,00 09,0x01,0x0F44
0x03,GET_ID,,1A,0x01,0x0FE6
0x05,GET_STATUS,,previous state,reset to 0x01,0x0FEF
0x12,GENERATE_SOUND,duration tone,01,0x01,0x0C88
0x13,BEEP,,01,0x01,0x0F2F
0x14,CLICK,,01,0x01,0x0FAE
0x15,DEQUEUE_KEY_EVENT,,event or FF,0x01 or 0x81,0x0F93
0x21,WRITE_DISPLAY,count start data[count or 256 if zero],01 after final data byte,0x01,inline ISR
0x31,PLAY_SOUND_SEQUENCE,sequence,01,0x01,0x0E5D
0x32,ENABLE_BREAK_DETECT,,01,0x01,0x0F66
0x33,DISABLE_BREAK_DETECT,,01,0x01,0x0FBA
0x34,PROTOCOL_ECHO,stream,each stream byte,0x00,0x0EA9
0x36,DIAGNOSTIC_KEY_TRAFFIC,raw counter byte,01,0x01,0x0E77
0x38,SET_KEY_IRQ_ENABLE,enable,01,0x01,0x0DC9
0x3A,FLUSH_KEY_FIFO,,01,0x01,0x0FC6
