address,symbol,role,status
0x0003,FUN_CODE_0003,key_irq_gate_and_srq,DIRECT_STATIC
0x001e,FUN_CODE_001e,timer2_flag_clear,DIRECT_STATIC
0x0026,FUN_CODE_0026,beep_start,DIRECT_STATIC
0x004e,FUN_CODE_004e,interrupt_flag_clear,DIRECT_STATIC
0x0052,FUN_CODE_0052,stub,DIRECT_STATIC
0x0056,FUN_CODE_0056,reject_wrapper,DIRECT_STATIC
0x005e,FUN_CODE_005e,timer1_audio_init,DIRECT_STATIC
0x0400,FUN_CODE_0400,sound_sequence_worker,DIRECT_STATIC
0x05e3,FUN_CODE_05e3,uart_receive_isr_and_parser,DIRECT_STATIC
0x06a6,FUN_CODE_06a6,vfd_pack_and_shift,DIRECT_STATIC
0x0766,FUN_CODE_0766,startup_and_main_loop,DIRECT_STATIC
0x0800,FUN_CODE_0800,tone_start,DIRECT_STATIC
0x0902,FUN_CODE_0902,vfd_refresh_shift_left,DIRECT_STATIC
0x096d,FUN_CODE_096d,vfd_refresh_shift_right,DIRECT_STATIC
0x09d8,FUN_CODE_09d8,key_debounce_and_event,DIRECT_STATIC
0x0a3b,FUN_CODE_0a3b,post_init_and_main_loop,DIRECT_STATIC
0x0a93,FUN_CODE_0a93,vfd_refresh_coordinator,DIRECT_STATIC
0x0aeb,FUN_CODE_0aeb,vfd_pack_and_strobe,DIRECT_STATIC
0x0b42,FUN_CODE_0b42,keypad_row_scan,DIRECT_STATIC
0x0b84,FUN_CODE_0b84,uart_setup,DIRECT_STATIC
0x0bc3,FUN_CODE_0bc3,keypad_row_select,DIRECT_STATIC
0x0c0a,FUN_CODE_0c0a,rom_isp_service_calls,DIRECT_STATIC
0x0c25,FUN_CODE_0c25,stub,DIRECT_STATIC
0x0c28,FUN_CODE_0c28,nibble_swap,DIRECT_STATIC
0x0c2a,FUN_CODE_0c2a,sound_timer_worker,DIRECT_STATIC
0x0c5b,FUN_CODE_0c5b,vfd_blanking,DIRECT_STATIC
0x0c88,FUN_CODE_0c88,cmd_generate_sound,DIRECT_STATIC
0x0cb3,FUN_CODE_0cb3,click_start,DIRECT_STATIC
0x0cdd,FUN_CODE_0cdd,vfd_peripheral_setup,DIRECT_STATIC
0x0d06,FUN_CODE_0d06,key_fifo_dequeue,DIRECT_STATIC
0x0d2f,FUN_CODE_0d2f,timer2_display_setup,DIRECT_STATIC
0x0d58,FUN_CODE_0d58,timer2_interrupt_worker,DIRECT_STATIC
0x0d80,FUN_CODE_0d80,port_sfr_setup,DIRECT_STATIC
0x0da6,FUN_CODE_0da6,timer1_setup,DIRECT_STATIC
0x0dc9,FUN_CODE_0dc9,cmd_set_key_irq_enable,DIRECT_STATIC
0x0de8,FUN_CODE_0de8,vfd_latch_strobe_a,DIRECT_STATIC
0x0e06,FUN_CODE_0e06,key_fifo_enqueue,DIRECT_STATIC
0x0e24,FUN_CODE_0e24,timer0_setup,DIRECT_STATIC
0x0e42,FUN_CODE_0e42,timer2_compare_setup,DIRECT_STATIC
0x0e5d,FUN_CODE_0e5d,cmd_play_sound_sequence,DIRECT_STATIC
0x0e77,FUN_CODE_0e77,cmd_diagnostic_key_traffic,DIRECT_STATIC
0x0e91,FUN_CODE_0e91,diagnostic_key_event_generator,DIRECT_STATIC
0x0ea9,FUN_CODE_0ea9,cmd_protocol_echo,DIRECT_STATIC
0x0ec0,FUN_CODE_0ec0,vfd_timer_wait,DIRECT_STATIC
0x0ed7,FUN_CODE_0ed7,vfd_latch_strobe_b,DIRECT_STATIC
0x0eed,FUN_CODE_0eed,key_state_and_srq_reset,DIRECT_STATIC
0x0f03,FUN_CODE_0f03,timer2_mode_select,DIRECT_STATIC
0x0f19,FUN_CODE_0f19,timer2_compare_select,DIRECT_STATIC
0x0f2f,FUN_CODE_0f2f,cmd_beep,DIRECT_STATIC
0x0f44,FUN_CODE_0f44,cmd_get_revision,DIRECT_STATIC
0x0f56,FUN_CODE_0f56,sound_fixed_setup,DIRECT_STATIC
0x0f66,FUN_CODE_0f66,cmd_enable_break_detect,DIRECT_STATIC
0x0f84,FUN_CODE_0f84,sound_peripheral_setup,DIRECT_STATIC
0x0f93,FUN_CODE_0f93,cmd_dequeue_key_event,DIRECT_STATIC
0x0fa1,FUN_CODE_0fa1,uart_aux_setup,DIRECT_STATIC
0x0fae,FUN_CODE_0fae,cmd_click,DIRECT_STATIC
0x0fba,FUN_CODE_0fba,cmd_disable_break_detect,DIRECT_STATIC
0x0fc6,FUN_CODE_0fc6,cmd_flush_key_fifo,DIRECT_STATIC
0x0fd2,FUN_CODE_0fd2,tx_interrupt_clear,DIRECT_STATIC
0x0fdc,FUN_CODE_0fdc,sound_control_setup,DIRECT_STATIC
0x0fe6,FUN_CODE_0fe6,cmd_get_id,DIRECT_STATIC
0x0fef,FUN_CODE_0fef,cmd_get_status,DIRECT_STATIC
0x0ff8,FUN_CODE_0ff8,peripheral_interrupt_worker,DIRECT_STATIC
0x100e,FUN_CODE_100e,inline_display_fallback_reject,DIRECT_STATIC
0x1017,FUN_CODE_1017,reject,DIRECT_STATIC
0x1020,FUN_CODE_1020,default_reject,DIRECT_STATIC
0x1029,FUN_CODE_1029,key_fifo_flush,DIRECT_STATIC
0x102f,FUN_CODE_102f,indirect_command_dispatch,DIRECT_STATIC
0x1035,FUN_CODE_1035,reject_wrapper,DIRECT_STATIC
0x1039,FUN_CODE_1039,stub,DIRECT_STATIC
0x103f,FUN_CODE_103f,empty_main_loop_hook,DIRECT_STATIC
